legacy_id,code,perusahaan,address,phone,email,handphone,fax,npwp,tempo_hutang,kontak_person,keterangan,cabang_id
68,CAB-D014,"DEFA ANGKASA",79110057//,79110057,,-,7946603,,30,"YANTI(RUDI HERMAWAN)","081284543388 [legacy:inventory_cab supplier_code=D014 row_id=68]",3
69,CAB-D016,"dunia baru",-,85918063,,-,,,30,"08158910088(AGUSTINUS TONG)","[legacy:inventory_cab supplier_code=D016 row_id=69]",3
70,CAB-D017,"PT DWIKA METALINDO SEJAHTERA","JL.SILIWANGI NO.35, SEPANJANG JAYA , KOTAMADYA BEKASI",8192110,,-,,02.364.104.6-432.000,30,"BU INGE","NPWP [legacy:inventory_cab supplier_code=D017 row_id=70]",3
71,CAB-D018,duratec,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=D018 row_id=71]",3
72,CAB-E001,"Elpiji System","komp toho blok e no 3// 0816982680",93055878/55965653,,-,66601417,,30,"(Frank Leo)","55965653/ [legacy:inventory_cab supplier_code=E001 row_id=72]",3
73,CAB-E002,Ecool,Jakarta,54382288,,-,54382325,,60,"Henry Nikolas","[legacy:inventory_cab supplier_code=E002 row_id=73]",3
74,CAB-E003,"Eka Jaya Teknik",08176068696,68872039,,-,55958176,,60,"(TJUA WIE LIE)","22557795/fax [legacy:inventory_cab supplier_code=E003 row_id=74]",3
75,CAB-E004,"ERA MEDIKA",-,5803070,,-,,,30,NOVI,"[legacy:inventory_cab supplier_code=E004 row_id=75]",3
76,CAB-E005,"EKA DUPONT","JAPOS GRHA LESTARI BLOK 75 NO 3-4 PONDK AREN TGRG",085715746145,,-,,,30,SARAH/JACK,"P EKA 0818663705 [legacy:inventory_cab supplier_code=E005 row_id=76]",3
77,CAB-E006,EMERSON,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=E006 row_id=77]",3
78,CAB-F001,"FAR EAST INDONESIA",-,-,,-,,,60,MERRY,"[legacy:inventory_cab supplier_code=F001 row_id=78]",3
79,CAB-F002,FISHER,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=F002 row_id=79]",3
80,CAB-F003,"FORTHEN INDONESIA","JL MANGGA BESAR 1 NO 61-1","6246211 EX 331",,-,,,30,EDISON,"085880001677 [legacy:inventory_cab supplier_code=F003 row_id=80]",3
81,CAB-G001,"Gudang 178",Jakarta,-,,-,,,60,,"[legacy:inventory_cab supplier_code=G001 row_id=81]",3
82,CAB-G002,"Gama Mitra",Jakarta,6616020,,-,6610900,,30,Lina//ANDREAS,"[legacy:inventory_cab supplier_code=G002 row_id=82]",3
83,CAB-G003,"Griya Kencana",Jakarta,-,,-,,,60,,"[legacy:inventory_cab supplier_code=G003 row_id=83]",3
84,CAB-G004,Gofur,"JL PULOKAJIN RT 05 RW 02 TALANG TEGAL",08156914020,,08156914020,02,,30,Gofur,"08156914020 [legacy:inventory_cab supplier_code=G004 row_id=84]",3
85,CAB-G005,"GO 2000","JL P JYKRTA 105  Jakarta",6247107,,-,6390154,,60,DERMA,"[legacy:inventory_cab supplier_code=G005 row_id=85]",3
86,CAB-G006,Gitzu,Jakarta,6006778,,-,,,60,George,"[legacy:inventory_cab supplier_code=G006 row_id=86]",3
87,CAB-G007,GMT,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=G007 row_id=87]",3
88,CAB-G008,"Gunung Mas",Jakarta,08129939325,,-,,,30,"KO APOH(TJUNG PO TJHAN","[legacy:inventory_cab supplier_code=G008 row_id=88]",3
89,CAB-G010,"Gunung Sari","knri bru blok c no 9",021-3914460,,-,,,60,,"HENRI [legacy:inventory_cab supplier_code=G010 row_id=89]",3
90,CAB-G012,"GINZA MULIA","jl krmt rya psr knri blok c10",31930862,,-,3147770,,60,,"[legacy:inventory_cab supplier_code=G012 row_id=90]",3
91,CAB-G013,"galaxy agung cemerlang",36628833//081380388222//085100628833,-,,-,,,30,"bu djen","[legacy:inventory_cab supplier_code=G013 row_id=91]",3
92,CAB-H001,"Harum Sari",-,-,,-,,,30,Yuda,"[legacy:inventory_cab supplier_code=H001 row_id=92]",3
93,CAB-H002,"Harapan Jaya",-,6349647,,-,,,60,Jimmy,"[legacy:inventory_cab supplier_code=H002 row_id=93]",3
94,CAB-H003,"Herman Interco","Jl.Taman Sari II no.7B Mangga besar  Jakarta",6337222,,-,,,60,"Merry Chang(ANTON HERMAN)","[legacy:inventory_cab supplier_code=H003 row_id=94]",3
95,CAB-H004,"Herry Alters","pertokoan glodok jaya lt dsr c 45 GIOK 6250663/6250833 Jakarta",6326388/SRI,,-,6334075,,60,Linda/Sri,"ci fifi 081310232203 [legacy:inventory_cab supplier_code=H004 row_id=95]",3
96,CAB-H005,"Herry Jaya","Kenari  Jakarta",31937331,,-,3103810,,60,Aris/Ino,"[legacy:inventory_cab supplier_code=H005 row_id=96]",3
97,CAB-H006,"PT HILCON JAYA FASTINDO",Jakarta,5649990,,-,5649989,,60,Ainis,"92749105 [legacy:inventory_cab supplier_code=H006 row_id=97]",3
98,CAB-H007,Harry,Jakarta,-,,-,,,60,,"[legacy:inventory_cab supplier_code=H007 row_id=98]",3
99,CAB-H008,HERMAWAN,-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=H008 row_id=99]",3
100,CAB-H009,"HEAT & COOL",-,-,,-,,,60,nany,"[legacy:inventory_cab supplier_code=H009 row_id=100]",3
101,CAB-H010,"hidup maju makmur","62320629 ltc gf 1 A2 NO.23",-,,-,62320637,,30,"miming 08129075483","08172391165 [legacy:inventory_cab supplier_code=H010 row_id=101]",3
102,CAB-H011,hancook,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=H011 row_id=102]",3
103,CAB-H012,"HARAPAN UTAMA","JL HAYAM WURUK NO 127 LTC LT 2 BLOK C8 NO 6..",62317837,,-,,,30,,"62303292 [legacy:inventory_cab supplier_code=H012 row_id=103]",3
104,CAB-H013,"HENRY MEDAN",-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=H013 row_id=104]",3
105,CAB-I001,IDJEN,"hasyim ashari no 18b, 082210091466(bu lia) 6322940 fax Jakarta",6319681,,-,6320148,,60,"Lia(PETRONELLA HARIJATI)","6348437/38 [legacy:inventory_cab supplier_code=I001 row_id=105]",3
106,CAB-I002,"Indra Jaya",Jakarta,4201569,,-,,,30,Aing,"[legacy:inventory_cab supplier_code=I002 row_id=106]",3
107,CAB-I003,"Inti Nepel",Jakarta,-,,-,,,30,,"[legacy:inventory_cab supplier_code=I003 row_id=107]",3
108,CAB-I004,"PT INTIMAS CHEMINDO","30032270/72/73/74, 085888882885/0822118881FREDY F 30032271 Jakarta",65301635,,-,65301636,,60,"(NOERJANI HUDAYA)","[legacy:inventory_cab supplier_code=I004 row_id=108]",3
109,CAB-I005,"Indotech multi prima","JL AGUNG KARYA 4 BLOK B NO 25 SUNTER 08128231179/ANDY 081218148318",64715599,,-,64710861,,60,"iva(INDOTECH MULTI PRIMA)","65830128/ANDI 081908321 [legacy:inventory_cab supplier_code=I005 row_id=109]",3
110,CAB-I006,INDOCIPTA,-,-,,-,,,60,"ADI INDRAWAN","081317165438/8641594 [legacy:inventory_cab supplier_code=I006 row_id=110]",3
111,CAB-I007,"INDO BRACKET",-,087880529799,,-,,,60,bp.hadi,"[legacy:inventory_cab supplier_code=I007 row_id=111]",3
112,CAB-I008,"CV INDOMAKMUR WIRASAKTI","jl makmur 3 blok N 1V/2 CIPONDOH MKMR TANGERG",5544937/9556197,,-,,,60,sugiarto,"[legacy:inventory_cab supplier_code=I008 row_id=112]",3
113,CAB-I009,"INDO MAKMUR INTI LESTARI",-,-,,-,,,30,"KO AYUNG","[legacy:inventory_cab supplier_code=I009 row_id=113]",3
114,CAB-I010,"INDRA WIJAYA",-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=I010 row_id=114]",3
115,CAB-I011,"PT INDO RHOTA KARYA WIJAYA","no rek:7550-162-681 A/N:Indhi Harto BANK:BCA",021-29004959,,-,,,30,"P BUDY(Indhi Harto)","[legacy:inventory_cab supplier_code=I011 row_id=115]",3
116,CAB-I012,I012,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=I012 row_id=116]",3
117,CAB-J001,"JAYA INSTRUMENT","Kenari  Jakarta",31931040,,-,,,30,Roy/Cece,"[legacy:inventory_cab supplier_code=J001 row_id=117]",3
118,CAB-J002,Jayadi,Jakarta,7406601,,-,,,60,Jayadi,"[legacy:inventory_cab supplier_code=J002 row_id=118]",3
119,CAB-J003,"Joko Panel",-,08159483243,,-,,,60,Joko,"[legacy:inventory_cab supplier_code=J003 row_id=119]",3
120,CAB-J004,"jaya lestari","kenari mas aks 189 B",31925915,,-,,,60,,"[legacy:inventory_cab supplier_code=J004 row_id=120]",3
121,CAB-J005,"jaya listrik","kenari baru",3914485,,-,,,60,thomas,"[legacy:inventory_cab supplier_code=J005 row_id=121]",3
122,CAB-J006,"JAYA SANJAYA",-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=J006 row_id=122]",3
123,CAB-J007,"JASA TEKNIK","jl.re martadinata 56,blok B no 9",-,,-,,,60,"P ANTON","[legacy:inventory_cab supplier_code=J007 row_id=123]",3
124,CAB-J008,"JNG INDONESIA","MGK LT 1 BLOK A7 NO 05-06 jl anksa kav B 6 JAK PUS BARRU 085285468212//ANTO 081291363662",29070419,,-,29070419,,30,BARRY,"[legacy:inventory_cab supplier_code=J008 row_id=124]",3
125,CAB-J009,jhonson,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=J009 row_id=125]",3
126,CAB-K001,"Karya Tunas Mustika","jl tanah abang 2 no 109 f-g  Jakarta",3506039/3519267,,-,3519268,,60,"Vera(JONAS ARYO WIBISONO)","[legacy:inventory_cab supplier_code=K001 row_id=126]",3
127,CAB-K002,"PT KAINDO NIRMALA CEMERLANG","GDG KOMP pergdgn kapuk kml utra 2 blok c1 no 1 telp gdg 55963025/93210054 Jakarta",5853678,,-,5867201,,60,"Indra 087877709163","5853678,ibu sinta,DIDI:087781336533 [legacy:inventory_cab supplier_code=K002 row_id=127]",3
128,CAB-K003,"Kencana Mitra Technologi",Jakarta,0227238231,,-,,,60,,"[legacy:inventory_cab supplier_code=K003 row_id=128]",3
129,CAB-K004,"Karya Logam","53160408/sana  Jakarta",70156565,,-,53160409,,60,(DJAYADI),"[legacy:inventory_cab supplier_code=K004 row_id=129]",3
130,CAB-K005,"Kenari Tehnik","Kenari baru lt dsr blok b no 11  Jakarta",3158317,,-,,,30,Lincai,"[legacy:inventory_cab supplier_code=K005 row_id=130]",3
131,CAB-K006,"PT KALIMASSARANA SUPLINDO","Kenari  Jakarta",3906655/3907447,,-,,,60,"Lungsu,(Surya Winata)","[legacy:inventory_cab supplier_code=K006 row_id=131]",3
132,CAB-K007,KLIMA,"JL P JAYAKARTA NO.85 AK TELP 6281935 08179111900 p paulus Jakarta",6281935,,-,6281976,,60,"Eka(Mulyana Nuryadi)","[legacy:inventory_cab supplier_code=K007 row_id=132]",3
133,CAB-K008,"Kreasi Air Pratama",Jakarta,(62-21)6502970,,-,(62-21)6517018,,60,Dewi,"[legacy:inventory_cab supplier_code=K008 row_id=133]",3
134,CAB-K009,"kreasi isolasitama",-,6502970,,-,6517018,,60,"yekti(MARTINUS BUDIMAN)","[legacy:inventory_cab supplier_code=K009 row_id=134]",3
135,CAB-K010,"PT KONBA","SUNTER MAS TIMUR BLOK Z NO.6 6500620",6518372,,-,6505264,,60,,"087780919422/08161309604 [legacy:inventory_cab supplier_code=K010 row_id=135]",3
136,CAB-K011,kiss,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=K011 row_id=136]",3
137,CAB-K012,"kumala sakti",-,-,,-,,,60,lita,"[legacy:inventory_cab supplier_code=K012 row_id=137]",3
138,CAB-K013,KKK,-,6919994,,-,6919993,,60,"ko akwangng/bu suli/fera","081210892007 /081289098859 [legacy:inventory_cab supplier_code=K013 row_id=138]",3
139,CAB-K014,"KITA MANDIRI KITA MAJU",-,84983355,,-,,,30,BERTA,"DIAN 085693302033 [legacy:inventory_cab supplier_code=K014 row_id=139]",3
140,CAB-K015,"kencana lintas mentari",-,-,,-,,,30,ria,"[legacy:inventory_cab supplier_code=K015 row_id=140]",3
141,CAB-L001,"KUSUMA ANTARA",Jakarta,-,,-,,,60,,"[legacy:inventory_cab supplier_code=L001 row_id=141]",3
142,CAB-L002,"Lion City",Jakarta,-,,-,,,60,"Mr An Ong","[legacy:inventory_cab supplier_code=L002 row_id=142]",3
143,CAB-L003,"KURNIA ALAM",Jakarta,-,,-,,,60,,"[legacy:inventory_cab supplier_code=L003 row_id=143]",3
144,CAB-L004,Lingga,Jakarta,-,,-,,,60,Lingga,"[legacy:inventory_cab supplier_code=L004 row_id=144]",3
145,CAB-L005,LJT,"ltc gf 2 blok a no 27-28/62200989 SUNTER 6520086/F 6520050 JL DANAU SUNTR SLTN KOMP Jakarta",6520086/,,-,,,60,"(Herdy Surya Winarta)","08129981277 [legacy:inventory_cab supplier_code=L005 row_id=145]",3
146,CAB-L006,"Lestari carflek","08159471143//97441160 JT BNING STATE BLOK G4 NO 17 PDK GDE BKSI",-,,-,8476343,,60,robert/lisna/berta//LIA,"91001625/ [legacy:inventory_cab supplier_code=L006 row_id=146]",3
147,CAB-L007,LAPISINDO,"jl kramat asem raya no 1 jkt FAX 8512751,08129589820:EDWIN  13120",8569257,,-,8563363/64,,60,EDWIN,"8566209 [legacy:inventory_cab supplier_code=L007 row_id=147]",3
148,CAB-L008,"Lana Teknik","jl kenari 2 los D6 NO 18",-,,-,,,30,,"[legacy:inventory_cab supplier_code=L008 row_id=148]",3
149,CAB-L009,"lancar dagang","jl p jayakarta no 68 blok A4",6392366,,-,6298806/07,,60,,"[legacy:inventory_cab supplier_code=L009 row_id=149]",3
150,CAB-L010,"lancar niaga","jl.raya ciclincing no 51 tnjg priuk bca nurman 7600374979",3392784,,-,54377723,,60,norman/081383523633,"54377725/94129135/085695322236 [legacy:inventory_cab supplier_code=L010 row_id=150]",3
151,CAB-L011,"LOGAM MAKMUR","JL RYA KALIMATI GG KH NAWAWI RT 01 RW 01 ADIWERNA",(0283)443382,,-,,,30,"P MUKHSIN","085742023147 [legacy:inventory_cab supplier_code=L011 row_id=151]",3
152,CAB-L012,"LIMA JAYA SUKSES",-,-,,-,,,30,HERDY,"[legacy:inventory_cab supplier_code=L012 row_id=152]",3
153,CAB-M001,"Mutiara Putih",-,"5850227,5845122",,-,,,60,Jenny,"[legacy:inventory_cab supplier_code=M001 row_id=153]",3
154,CAB-M002,"Mitra Jaya",Jakarta,-,,-,,,60,Muji,"[legacy:inventory_cab supplier_code=M002 row_id=154]",3
155,CAB-M003,Milenia,"PASAR BARU TIMUR DALAM NO 6C milenitra@centrin.net.id Jakarta",3510251,,-,3510079,,60,Ansori,"AGUS TEKNSI 08161467892 [legacy:inventory_cab supplier_code=M003 row_id=155]",3
156,CAB-M004,"Mekar Sari","Kenari  Jakarta",3145359,,-,,,30,Rina,"[legacy:inventory_cab supplier_code=M004 row_id=156]",3
157,CAB-M005,"Mukti Mandiri","Kenari  Jakarta",3924358,,-,,,60,Siti,"[legacy:inventory_cab supplier_code=M005 row_id=157]",3
158,CAB-M006,"Mulia Perdana",Jakarta,5638379,,-,5681444,,60,"Juliana W","[legacy:inventory_cab supplier_code=M006 row_id=158]",3
159,CAB-M007,"PT MATESU ABADI","pergd nusa indah no 27 jl kapuk poglar  Jakarta",22528879/81/6628909,,085782246247,5679356,,60,"Kris(CHRIS INDAH W)/bp orbi","71051354/0818782532 [legacy:inventory_cab supplier_code=M007 row_id=159]",3
160,CAB-M008,MPA,Jakarta,66695550,,-,66695549,,60,Mieng/Peni,"[legacy:inventory_cab supplier_code=M008 row_id=160]",3
161,CAB-M009,Metalindo,Jakarta,55955660,,-,,,60,Victor,"[legacy:inventory_cab supplier_code=M009 row_id=161]",3
162,CAB-M010,"MAJU JAYA ABADI","VILA GADING HARAPAN BLOK AM 2 NO 18 RT 06 RW 024  Jakarta",26718023,,-,,,60,SOLIHIN,"[legacy:inventory_cab supplier_code=M010 row_id=162]",3
163,CAB-M011,"Mesias Manunggal Mandiri",Jakarta,48702846,,-,48700818,,60,"Edi(THE LILY)","081585022846 [legacy:inventory_cab supplier_code=M011 row_id=163]",3
164,CAB-M012,"Metalindo Jaya",Jakarta,68871973,,-,,,60,Gunawan,"[legacy:inventory_cab supplier_code=M012 row_id=164]",3
